# Boston Buildings List - Architecture Helper
# 18 buildings covering Boston's architectural diversity

1. Trinity Church - 206 Clarendon St, Boston, MA 02116 - Richardsonian Romanesque
2. Boston Public Library (McKim Building) - 700 Boylston St, Boston, MA 02116 - Beaux-Arts
3. Faneuil Hall - 1 Faneuil Hall Sq, Boston, MA 02109 - Georgian
4. Massachusetts State House - 24 Beacon St, Boston, MA 02133 - Federal/Neoclassical
5. Old South Meeting House - 310 Washington St, Boston, MA 02108 - Colonial/Georgian
6. Old North Church - 193 Salem St, Boston, MA 02113 - Georgian
7. Park Street Church - 1 Park St, Boston, MA 02108 - Federal
8. Custom House Tower - 3 McKinley Square, Boston, MA 02109 - Greek Revival/Art Deco tower
9. John Hancock Tower - 200 Clarendon St, Boston, MA 02116 - Modernist
10. Prudential Tower - 800 Boylston St, Boston, MA 02199 - International Style
11. Boston City Hall - 1 City Hall Square, Boston, MA 02201 - Brutalist
12. Isabella Stewart Gardner Museum - 25 Evans Way, Boston, MA 02115 - Venetian Gothic
13. MIT Stata Center - 32 Vassar St, Cambridge, MA 02139 - Deconstructivist (Frank Gehry)
14. MIT Chapel - 48 Massachusetts Ave, Cambridge, MA 02139 - Modernist (Eero Saarinen)
15. Harvard Memorial Hall - 45 Quincy St, Cambridge, MA 02138 - High Victorian Gothic
16. King's Chapel - 58 Tremont St, Boston, MA 02108 - Georgian
17. Ames Building - 1 Court St, Boston, MA 02108 - Richardsonian Romanesque
18. Christian Science Center - 210 Massachusetts Ave, Boston, MA 02115 - Brutalist/Modernist (I.M. Pei)
